ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
1271,aabdouraman,18,9/29/2016 9:45,9/29/2016 9:31,6,13,exno,---,Maroua
212,aabdouraman,18,9/29/2016 10:11,9/29/2016 9:49,6,14,exno,---,Maroua
976,aabdouraman,26,9/29/2016 10:40,9/29/2016 10:17,6,15,exno,---,Maroua
713,aabdouraman,60,10/3/2016 9:05,10/3/2016 8:39,7,1,exno,---,Maroua
1274,aabdouraman,19,10/3/2016 9:31,10/3/2016 9:10,7,2,exno,---,Maroua
215,aabdouraman,90,10/3/2016 9:56,10/3/2016 9:36,7,3,exno,---,Maroua
707,aabdouraman,50,10/3/2016 10:20,10/3/2016 10:00,7,4,exno,---,Maroua
708,aabdouraman,35,10/3/2016 10:45,10/3/2016 10:27,7,5,exno,---,Maroua
709,aabdouraman,41,10/4/2016 7:05,10/4/2016 6:40,7,6,exno,---,Maroua
978,aabdouraman,40,10/4/2016 7:26,10/4/2016 7:11,7,7,exno,---,Maroua
710,aabdouraman,44,10/4/2016 7:53,10/4/2016 7:30,7,8,exno,---,Maroua
979,aabdouraman,35,10/4/2016 8:20,10/4/2016 8:06,7,9,exno,---,Maroua
216,aabdouraman,48,10/4/2016 8:50,10/4/2016 8:27,7,10,exno,---,Maroua
711,aabdouraman,42,10/4/2016 9:20,10/4/2016 9:01,7,11,exno,---,Maroua
712,aabdouraman,27,10/4/2016 9:46,10/4/2016 9:31,7,12,exno,---,Maroua
217,aabdouraman,40,10/4/2016 10:07,10/4/2016 9:50,7,13,exno,---,Maroua
714,aabdouraman,45,10/4/2016 10:29,10/4/2016 10:12,7,14,exno,---,Maroua
472,aabdouraman,25,10/4/2016 10:50,10/4/2016 10:36,7,15,exno,---,Maroua
1135,ahinsia,22,8/7/2016 13:06,8/7/2016 12:22,8,1,exno,---,Maroua
600,ahinsia,30,8/7/2016 13:31,8/7/2016 13:10,8,2,exno,---,Maroua
1136,ahinsia,44,8/7/2016 14:19,8/7/2016 13:39,8,3,exno,---,Meskine
112,ahinsia,28,8/7/2016 14:51,8/7/2016 14:28,8,4,exno,---,Meskine
671,ahinsia,34,8/7/2016 15:22,8/7/2016 15:01,8,5,exno,---,Meskine
418,ahinsia,21,8/7/2016 16:10,8/7/2016 15:31,8,6,exno,---,Yagoua
547,ahinsia,17,8/8/2016 13:53,8/8/2016 13:32,8,7,exno,---,Meskine
771,ahinsia,35,8/8/2016 14:25,8/8/2016 14:00,8,8,exno,---,Meskine
672,ahinsia,56,8/8/2016 14:59,8/8/2016 14:32,8,9,exno,---,Meskine
548,ahinsia,19,8/8/2016 15:28,8/8/2016 15:13,8,10,exno,---,Meskine
282,ahinsia,35,8/8/2016 15:52,8/8/2016 15:35,8,11,exno,---,Meskine
10,ahinsia,43,8/8/2016 16:28,8/8/2016 16:17,8,12,exno,---,Meskine
1052,ahinsia,18,8/8/2016 16:52,8/8/2016 16:29,8,13,exno,---,Meskine
604,ahinsia,37,8/9/2016 6:47,8/9/2016 6:27,8,14,exno,---,Meskine
915,ahinsia,35,8/9/2016 7:10,8/9/2016 6:57,8,15,exno,---,Meskine
1061,ahinsia,18,8/12/2016 8:20,8/12/2016 8:00,9,1,exno,---,Meskine
579,ahinsia,29,8/12/2016 9:07,8/12/2016 8:33,9,2,exno,---,Meskine
191,ahinsia,17,8/12/2016 9:38,8/12/2016 9:13,9,3,exno,---,Meskine
876,ahinsia,16,8/12/2016 9:58,8/12/2016 9:45,9,4,exno,---,Meskine
840,ahinsia,56,8/12/2016 10:20,8/12/2016 10:06,9,5,exno,---,Meskine
30,ahinsia,30,8/12/2016 10:37,8/12/2016 10:22,9,6,exno,---,Meskine
61,ahinsia,16,8/12/2016 11:09,8/12/2016 10:45,9,7,exno,---,Meskine
580,ahinsia,17,8/12/2016 11:38,8/12/2016 11:18,9,8,exno,---,Meskine
1114,ahinsia,25,8/12/2016 12:06,8/12/2016 11:53,9,9,exno,---,Meskine
841,ahinsia,22,8/12/2016 12:24,8/12/2016 12:10,9,10,exno,---,Meskine
158,ahinsia,20,8/12/2016 12:49,8/12/2016 12:37,9,11,exno,---,Meskine
192,ahinsia,42,8/12/2016 13:19,8/12/2016 12:51,9,12,exno,---,Meskine
193,ahinsia,30,8/12/2016 13:38,8/12/2016 13:23,9,13,exno,---,Meskine
62,ahinsia,52,8/12/2016 14:21,8/12/2016 13:46,9,14,exno,---,Meskine
147,ahinsia,17,8/12/2016 14:42,8/12/2016 14:24,9,15,exno,---,Meskine
847,ahinsia,46,8/14/2016 9:08,8/14/2016 8:52,10,1,exno,---,Meskine
364,ahinsia,50,8/14/2016 9:40,8/14/2016 9:15,10,2,exno,---,Meskine
633,ahinsia,38,8/14/2016 10:05,8/14/2016 9:48,10,3,exno,---,Mora
1219,ahinsia,28,8/14/2016 10:26,8/14/2016 10:13,10,4,exno,---,Meskine
160,ahinsia,22,8/14/2016 11:07,8/14/2016 11:00,10,5,exno,---,Meskine
1152,ahinsia,35,8/14/2016 11:30,8/14/2016 11:13,10,6,exno,---,Meskine
880,ahinsia,25,8/14/2016 11:52,8/14/2016 11:32,10,7,exno,---,Maroua
808,ahinsia,21,8/14/2016 12:09,8/14/2016 12:00,10,8,exno,---,Meskine
1186,ahinsia,21,8/14/2016 12:29,8/14/2016 12:14,10,9,exno,---,Meskine
521,ahinsia,23,8/14/2016 12:55,8/14/2016 12:39,10,10,exno,---,Meskine
809,ahinsia,25,8/14/2016 13:18,8/14/2016 13:04,10,11,exno,---,Meskine
634,ahinsia,31,8/14/2016 13:34,8/14/2016 13:21,10,12,exno,---,Meskine
294,ahinsia,20,8/14/2016 14:01,8/14/2016 13:48,10,13,exno,---,Meskine
1153,ahinsia,27,8/14/2016 14:24,8/14/2016 14:05,10,14,exno,---,Meskine
161,ahinsia,21,8/14/2016 14:40,8/14/2016 14:28,10,15,exno,---,Meskine
851,ahinsia,20,8/16/2016 13:32,8/16/2016 13:16,11,1,exno,---,Maroua
124,ahinsia,63,8/16/2016 14:16,8/16/2016 13:39,11,2,exno,---,Maroua
925,ahinsia,34,8/16/2016 14:50,8/16/2016 14:33,11,3,exno,---,Maroua
1172,ahinsia,29,8/16/2016 15:37,8/16/2016 15:03,11,4,exno,---,Maroua
52,ahinsia,34,8/16/2016 21:48,8/16/2016 21:39,11,5,exno,---,Maroua
44,ahinsia,29,8/17/2016 11:40,8/17/2016 11:16,11,6,exno,---,Maroua
